CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
58	78	3	0.7784	-79.123
70	78	3	0.7768	-351.237
64	67	3	0.7087	1.790
64	70	3	0.9196	-116.182
64	80	3	0.9972	-0.105
48	165	3	0.9737	-15.974
68	165	3	0.9566	-37.956
165	185	3	0.9784	0.000
32	39	3	0.9478	-83.961
38	39	3	0.887	192.093
58	62	3	0.8823	-234.158
59	62	3	0.9151	-113.139
58	59	3	0.9431	-121.019
36	182	3	0.9325	-0.000
87	182	3	0.9421	-43.042
117	182	3	0.9295	-0.000
67	68	3	0.9937	-0.892
67	80	3	0.7162	-1.895
36	87	3	0.9779	43.042
36	117	3	0.9745	-0.000
68	80	3	0.786	-1.003
48	68	3	0.9567	21.982
87	117	3	0.9757	-43.042
49	185	3	0.976	-0.000
48	185	3	0.9808	-15.974
730	804	4	0.7063	-0.000
780	804	4	0.8037	-0.000
730	780	4	0.8158	0.000
730	967	4	0.7212	0.000
780	823	4	0.7155	-0.000
718	815	5	0.9344	28.031
751	815	5	0.8539	42.047
774	815	5	0.8288	42.047
815	884	5	0.8534	14.016
815	891	5	0.9368	-28.031
815	896	5	0.965	0.000
751	849	5	0.838	-28.031
774	849	5	0.8527	-28.031
849	893	5	0.8826	-15.018
793	955	5	0.8965	-56.062
805	955	5	0.8959	-56.062
812	955	5	0.8806	-56.062
831	955	5	0.8884	-42.047
890	955	5	0.8809	-28.031
955	989	5	0.8436	-28.031
729	793	5	0.8763	28.031
729	805	5	0.8926	28.031
729	812	5	0.8929	28.031
729	890	5	0.9017	-0.000
729	907	5	0.9074	-0.000
738	907	5	0.9011	-0.000
793	907	5	0.9206	-28.031
805	907	5	0.9206	-28.031
812	907	5	0.8853	-28.031
883	907	5	0.9207	-0.169
885	907	5	0.9192	-42.047
890	907	5	0.9245	0.000
907	935	5	0.9618	-14.016
907	936	5	0.8911	-14.016
751	893	5	0.8273	-43.049
875	893	5	0.8584	0.169
718	831	5	0.8933	-42.047
793	831	5	0.9325	-14.016
805	831	5	0.9267	-14.016
812	831	5	0.9114	-14.016
831	885	5	0.967	28.031
831	890	5	0.8984	-14.016
831	891	5	0.9026	42.047
831	901	5	0.8777	-15.189
831	935	5	0.9208	-28.031
738	774	5	0.8631	42.047
738	793	5	0.8716	28.031
738	812	5	0.8688	28.031
738	883	5	0.8973	0.169
738	885	5	0.8889	42.047
738	890	5	0.8868	-0.000
738	935	5	0.9233	-14.016
738	936	5	0.8758	-14.016
793	935	5	0.9281	-42.047
805	935	5	0.9261	-42.047
812	935	5	0.8919	-42.047
883	935	5	0.9312	-14.185
885	935	5	0.9296	-56.063
890	935	5	0.9246	-14.016
935	936	5	0.8978	0.000
793	812	5	0.9581	0.000
805	812	5	0.9204	-0.000
812	879	5	0.868	42.047
812	883	5	0.8762	-27.862
718	774	5	0.8963	-14.016
718	879	5	0.8907	14.016
718	884	5	0.8843	42.047
718	885	5	0.8843	-14.016
718	890	5	0.8873	-56.063
718	891	5	0.9894	-0.000
718	896	5	0.9383	28.031
774	891	5	0.8895	14.015
774	896	5	0.8347	42.047
774	936	5	0.8604	-56.063
883	890	5	0.9233	-0.169
885	890	5	0.9321	-42.047
890	891	5	0.8966	56.063
879	885	5	0.8638	-28.031
883	885	5	0.9155	41.878
885	891	5	0.8935	14.015
885	936	5	0.892	-56.063
793	805	5	0.9479	0.000
805	879	5	0.8945	42.047
805	883	5	0.9565	-27.862
805	901	5	0.8972	-29.204
751	896	5	0.882	42.047
884	896	5	0.8566	-14.016
891	896	5	0.938	28.031
879	891	5	0.8989	-14.016
884	891	5	0.8866	-42.047
751	879	5	0.8498	28.031
883	901	5	0.8848	-1.342
793	883	5	0.9138	-27.862
875	883	5	0.8797	1.340
239	246	6	0.8759	0.000
239	247	6	0.7029	18.011
685	784	8	0.7837	15.995
701	784	8	0.8019	2.016
764	784	8	0.8695	0.000
772	784	8	0.8871	0.000
784	792	8	0.7882	24.000
784	818	8	0.7977	-2.016
602	825	8	0.903	-28.031
684	825	8	0.9515	-0.000
700	825	8	0.9527	-0.000
711	825	8	0.8645	-0.000
761	825	8	0.8422	0.000
816	825	8	0.9607	0.000
825	826	8	0.8291	17.027
825	851	8	0.8676	-26.016
825	923	8	0.9239	-28.031
825	927	8	0.8684	-28.031
792	956	8	0.9232	-56.063
830	956	8	0.909	-42.047
886	956	8	0.8087	-27.028
675	701	8	0.807	15.011
675	826	8	0.7914	15.011
602	927	8	0.8471	-56.062
665	927	8	0.7861	-30.047
684	927	8	0.8374	-28.031
700	927	8	0.8452	-28.031
711	927	8	0.8469	-28.031
761	927	8	0.801	-28.031
816	927	8	0.8509	-28.031
923	927	8	0.8718	0.000
651	851	8	0.8624	-28.031
655	851	8	0.8815	-28.031
665	851	8	0.8326	-28.031
670	851	8	0.8252	-10.021
711	851	8	0.8264	-26.016
765	851	8	0.8719	-28.031
773	851	8	0.8879	-28.031
783	851	8	0.8677	-28.031
816	851	8	0.8353	-26.015
543	602	8	0.8559	-24.036
543	684	8	0.8448	-52.068
543	700	8	0.8436	-52.068
543	752	8	0.7884	-70.078
543	816	8	0.8417	-52.068
685	791	8	0.8408	58.005
764	791	8	0.8053	42.010
772	791	8	0.8471	42.010
791	817	8	0.7967	-26.016
791	827	8	0.8506	-26.016
791	894	8	0.9756	-28.031
791	906	8	0.9661	-28.031
534	535	8	0.8794	-18.011
602	711	8	0.8369	-28.031
684	711	8	0.8649	-0.000
692	711	8	0.8337	0.000
700	711	8	0.8698	0.000
711	761	8	0.8745	-0.000
711	816	8	0.8732	-0.000
711	923	8	0.8736	-28.031
822	862	8	0.7797	12.000
852	862	8	0.8039	26.016
861	862	8	0.8028	26.016
682	798	8	0.7524	-42.047
731	798	8	0.7042	-28.031
798	809	8	0.8291	0.000
798	842	8	0.8483	-14.016
798	865	8	0.7124	-28.031
798	909	8	0.8755	-28.031
571	685	8	0.734	-2.016
602	692	8	0.8245	-28.031
692	761	8	0.8095	-0.000
692	923	8	0.8302	-28.031
731	822	8	0.7102	-28.031
802	822	8	0.7024	-35.077
822	852	8	0.8251	-14.016
822	861	8	0.8049	-14.016
822	870	8	0.7577	12.000
670	724	8	0.8092	0.000
685	764	8	0.8024	15.995
701	764	8	0.8077	2.016
764	772	8	0.9517	0.000
764	792	8	0.7838	24.000
764	818	8	0.8129	-2.016
550	682	8	0.7052	-16.031
651	783	8	0.9596	0.000
655	783	8	0.9628	0.000
665	783	8	0.9257	0.000
670	783	8	0.8427	18.010
765	783	8	0.9904	0.000
772	783	8	0.8378	-17.027
773	783	8	0.9415	0.000
783	845	8	0.8658	-28.031
701	818	8	0.9286	-0.000
818	826	8	0.9597	0.000
818	827	8	0.8234	18.011
818	870	8	0.8103	52.031
726	731	8	0.7659	0.000
731	809	8	0.7229	-28.031
809	909	8	0.741	-28.031
842	909	8	0.7746	-14.016
852	909	8	0.7084	-14.016
861	909	8	0.7566	-14.016
865	909	8	0.7047	-0.000
685	906	8	0.8325	29.974
772	906	8	0.8171	13.979
792	906	8	0.8263	-10.021
817	906	8	0.8172	-2.016
827	906	8	0.873	-2.016
830	906	8	0.8299	3.995
894	906	8	0.9912	-0.000
682	842	8	0.7676	-56.063
770	842	8	0.7505	-14.016
809	842	8	0.8111	-14.016
