CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
56	220	15.974	0.000	0.9656	0.7224	1
57	60	-192.093	0.000	0.9175	0.5846	1
57	62	83.962	0.000	0.8832	0.4703	1
57	66	-154.137	0.000	0.9648	0.6562	1
57	68	-150.197	0.000	0.9105	0.5954	1
57	69	-271.216	0.000	0.9245	0.5661	1
57	72	-384.355	0.000	0.8450	0.5036	1
57	180	201.040	0.000	0.8051	0.5014	1
57	194	201.040	0.000	0.8068	0.5038	1
60	61	-117.079	0.000	0.9394	0.7074	1
60	62	276.055	0.000	0.8755	0.5582	1
60	64	158.975	0.000	0.8705	0.4895	1
60	66	37.956	0.000	0.9044	0.5444	1
60	68	41.897	0.000	0.9148	0.6053	1
60	69	-79.122	0.000	0.8772	0.6326	1
60	71	-75.182	0.000	0.9091	0.6262	1
60	72	-192.261	0.000	0.8386	0.6322	1
60	169	393.133	0.000	0.7816	0.3753	1
60	180	393.133	0.000	0.7905	0.4179	1
60	194	393.133	0.000	0.7945	0.4317	1
61	62	393.134	0.000	0.8348	0.4836	1
61	68	158.976	0.000	0.8958	0.5952	1
61	69	37.957	0.000	0.8306	0.5488	1
61	71	41.897	0.000	0.9187	0.6476	1
61	72	-75.182	0.000	0.8717	0.6350	1
62	64	-117.079	0.000	0.8601	0.4745	1
62	66	-238.099	0.000	0.8804	0.4793	1
62	72	-468.316	0.000	0.7608	0.4809	1
62	180	117.079	0.000	0.8450	0.4669	1
62	219	15.974	0.000	0.8377	0.5024	1
63	181	-0.000	0.000	0.8874	0.5399	1
65	175	-0.000	0.000	0.9159	0.8228	1
65	187	-0.000	0.000	0.8627	0.7660	1
65	197	-0.000	0.000	0.8710	0.7945	1
65	207	-0.000	0.000	0.8810	0.8170	1
65	216	-0.000	0.000	0.8695	0.7886	1
66	68	3.941	0.000	0.9001	0.5902	1
66	69	-117.078	0.000	0.9267	0.6192	1
66	72	-230.217	0.000	0.8377	0.5073	1
66	88	37.956	0.000	0.9434	0.6543	1
66	180	355.178	0.000	0.8107	0.4321	1
66	194	355.178	0.000	0.8123	0.4337	1
68	69	-121.019	0.000	0.9431	0.6577	1
68	71	-117.079	0.000	0.9276	0.6587	1
68	72	-234.158	0.000	0.8823	0.6312	1
68	86	37.956	0.000	0.9391	0.6886	1
68	89	-79.123	0.000	0.7784	0.5088	1
69	71	3.940	0.000	0.9468	0.6899	1
69	72	-113.139	0.000	0.9151	0.6985	1
69	90	37.955	0.000	0.9419	0.6458	1
69	94	-79.124	0.000	0.7568	0.6458	1
69	180	472.256	0.000	0.7059	0.3435	1
69	194	472.256	0.000	0.7096	0.3806	1
71	72	-117.079	0.000	0.9085	0.6319	1
71	89	37.956	0.000	0.9209	0.6474	1
72	93	37.956	0.000	0.9524	0.7196	1
72	96	-79.122	0.000	0.9398	0.7625	1
73	77	121.912	0.000	0.9720	0.6768	1
73	78	121.020	0.000	0.9721	0.6977	1
73	130	121.911	0.000	0.9725	0.6768	1
74	77	1.790	0.000	0.7087	0.4875	1
74	78	0.897	0.000	0.7784	0.8413	1
74	80	-116.182	0.000	0.9196	0.6567	1
74	91	-0.105	0.000	0.9972	0.9419	1
74	95	0.007	0.000	0.9960	0.9283	1
74	128	0.000	0.000	0.9955	0.9187	1
74	130	1.789	0.000	0.7077	0.4739	1
74	204	-22.088	0.000	0.9550	0.6620	1
75	82	18.011	0.000	0.7190	0.5436	1
75	102	-0.010	0.000	0.7267	0.5436	1
75	132	18.011	0.000	0.7309	0.5436	1
75	133	36.021	0.000	0.7041	0.5415	1
75	135	-0.000	0.000	0.7205	0.5436	1
75	182	0.009	0.000	0.7635	0.5988	1
75	202	-0.010	0.000	0.7339	0.6214	1
75	203	0.009	0.000	0.7222	0.5436	1
75	533	18.011	0.000	0.7839	0.6018	1
75	583	18.011	0.000	0.7970	0.6690	1
75	621	18.011	0.000	0.8008	0.6660	1
75	959	-0.088	0.000	0.7650	0.7551	1
75	971	-0.088	0.000	0.7928	0.7774	1
75	1104	-0.000	0.000	0.7042	0.6963	1
75	1125	18.010	0.000	0.7053	0.5436	1
75	1173	-0.000	0.000	0.7745	0.7439	1
75	1174	18.011	0.000	0.7308	0.5622	1
75	1214	18.011	0.000	0.7085	0.5436	1
77	78	-0.892	0.000	0.9937	0.8700	1
77	91	-1.895	0.000	0.7162	0.5326	1
77	95	-1.783	0.000	0.7122	0.4969	1
77	128	-1.790	0.000	0.7106	0.4905	1
77	130	-0.000	0.000	0.9984	0.9466	1
78	91	-1.003	0.000	0.7860	0.8413	1
78	95	-0.890	0.000	0.7819	0.8413	1
78	128	-0.897	0.000	0.7820	0.8604	1
78	130	0.892	0.000	0.9946	0.8886	1
78	180	-37.956	0.000	0.9566	0.6175	1
78	199	-21.982	0.000	0.9527	0.6919	1
78	211	-21.982	0.000	0.9469	0.6784	1
78	220	-21.982	0.000	0.9506	0.6580	1
80	84	-117.079	0.000	0.8558	0.4713	1
80	86	-234.158	0.000	0.8563	0.5771	1
80	89	-351.237	0.000	0.7768	0.4841	1
80	90	-355.178	0.000	0.8635	0.5741	1
80	94	-472.257	0.000	0.8363	0.5431	1
80	128	116.182	0.000	0.9177	0.6340	1
80	219	-21.982	0.000	0.8991	0.5301	1
81	527	-0.000	0.000	0.9245	0.8697	1
81	587	-0.000	0.000	0.8918	0.8090	1
82	102	-18.020	0.000	0.9547	0.8943	1
82	132	-0.000	0.000	0.9375	0.8444	1
82	133	18.011	0.000	0.8408	0.6954	1
82	135	-18.011	0.000	0.9584	0.9462	1
82	182	-18.001	0.000	0.9010	0.8200	1
82	202	-18.020	0.000	0.9565	0.8833	1
82	203	-18.001	0.000	0.9532	0.8957	1
82	533	0.000	0.000	0.9346	0.8444	1
82	583	0.000	0.000	0.9301	0.8444	1
82	621	-0.000	0.000	0.9261	0.8444	1
82	1125	-0.000	0.000	0.8923	0.8103	1
82	1174	-0.000	0.000	0.8774	0.7682	1
82	1214	-0.000	0.000	0.8924	0.7830	1
84	89	-234.158	0.000	0.7832	0.5529	1
84	90	-238.099	0.000	0.8058	0.5296	1
84	94	-355.178	0.000	0.7616	0.4696	1
84	167	-21.982	0.000	0.7852	0.4719	1
84	181	-21.982	0.000	0.7991	0.4800	1
84	200	-21.982	0.000	0.8051	0.4719	1
86	88	-3.941	0.000	0.9136	0.6602	1
86	89	-117.079	0.000	0.8044	0.6192	1
86	90	-121.020	0.000	0.9579	0.7254	1
86	93	-234.158	0.000	0.9255	0.7289	1
86	94	-238.099	0.000	0.9558	0.7599	1
86	96	-351.236	0.000	0.8869	0.5891	1
87	92	0.002	0.000	1.0000	1.0000	1
88	89	-113.138	0.000	0.8581	0.5891	1
88	90	-117.079	0.000	0.9307	0.7146	1
88	93	-230.217	0.000	0.8474	0.5999	1
88	94	-234.158	0.000	0.8989	0.6976	1
89	93	-117.078	0.000	0.9302	0.6200	1
89	94	-121.020	0.000	0.9343	0.6290	1
89	96	-234.157	0.000	0.8701	0.6400	1
90	93	-113.138	0.000	0.9001	0.5943	1
90	94	-117.079	0.000	0.9505	0.7328	1
91	95	0.112	0.000	0.9969	0.9427	1
91	128	0.105	0.000	0.9965	0.9187	1
91	130	1.895	0.000	0.7145	0.5036	1
91	204	-21.982	0.000	0.9542	0.6597	1
93	94	-3.941	0.000	0.9372	0.7043	1
93	96	-117.078	0.000	0.7635	0.7245	1
95	128	-0.007	0.000	0.9963	0.9196	1
95	130	1.782	0.000	0.7126	0.5098	1
95	180	-37.066	0.000	0.7009	0.6643	1
95	192	-22.095	0.000	0.9631	0.7825	1
95	199	-21.092	0.000	0.7014	0.7796	1
95	204	-22.095	0.000	0.9610	0.7134	1
95	215	-22.095	0.000	0.9661	0.7954	1
98	99	43.042	0.000	0.9278	0.6828	1
98	129	-43.042	0.000	0.9757	0.7965	1
98	198	-43.042	0.000	0.9421	0.6691	1
101	178	0.010	0.000	0.9645	0.8792	1
102	132	18.020	0.000	0.9805	0.9504	1
102	133	36.031	0.000	0.8313	0.6590	1
102	135	0.010	0.000	0.9990	1.0000	1
102	163	-26.950	0.000	0.7062	0.4876	1
102	179	-26.950	0.000	0.7050	0.4857	1
102	182	0.019	0.000	0.9525	0.9292	1
102	202	-0.000	0.000	0.9890	0.9406	1
102	203	0.019	0.000	0.9990	1.0000	1
102	533	18.020	0.000	0.9384	0.8490	1
102	583	18.020	0.000	0.9319	0.8230	1
102	621	18.020	0.000	0.9280	0.8230	1
102	1125	18.020	0.000	0.8927	0.8103	1
102	1174	18.020	0.000	0.8788	0.7682	1
102	1214	18.020	0.000	0.9099	0.8371	1
104	115	-39.007	0.000	0.8642	0.7451	1
105	109	-11.003	0.000	0.7084	0.6079	1
106	107	-0.018	0.000	0.8696	0.6320	1
106	108	-9.504	0.000	0.9334	0.8277	1
106	109	-10.003	0.000	0.7971	0.7697	1
107	108	-9.485	0.000	0.8188	0.6004	1
107	109	-9.984	0.000	0.7374	0.6004	1
108	109	-0.499	0.000	0.8673	0.8849	1
109	110	-1.044	0.000	0.7812	0.6626	1
109	113	-3.040	0.000	0.7165	0.6133	1
111	112	-0.004	0.000	1.0000	1.0000	1
118	120	-7.996	0.000	0.7269	0.5761	1
118	121	-23.973	0.000	0.8570	0.8419	1
118	122	-28.953	0.000	0.7754	0.4880	1
118	663	-38.145	0.000	0.7290	0.4009	1
120	125	-39.958	0.000	0.7363	0.6053	1
121	157	78.014	0.000	0.7982	0.6135	1
121	195	78.020	0.000	0.8271	0.7457	1
122	123	-10.992	0.000	0.8955	0.7811	1
123	124	-2.998	0.000	0.7331	0.6658	1
123	172	18.964	0.000	0.9257	0.8695	1
126	127	-27.995	0.000	0.7718	0.7529	1
128	130	1.789	0.000	0.7099	0.4770	1
128	180	-37.059	0.000	0.7009	0.6450	1
128	192	-22.088	0.000	0.9595	0.7640	1
128	199	-21.085	0.000	0.7003	0.7549	1
128	204	-22.088	0.000	0.9587	0.7134	1
128	215	-22.088	0.000	0.9637	0.7900	1
129	198	-0.000	0.000	0.9295	0.6401	1
131	533	-36.021	0.000	0.7577	0.6391	1
131	582	-18.010	0.000	0.7630	0.8234	1
