formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C4H5Cl3N2O4	[M - H2O + H]+	C4H4Cl3N2O3+	0.891	0.266	53.343	51.018	2.325	6	0.528	0.327	0.399	-77322.071		232.928	29	0.482	839403725607380124	839403591389646443	839403591385452138	3	
1	C3H7ClN2O5P2S3	[M + H]+	C3H8ClN2O5P2S3+	0.330	0.327	72.312	72.312	0.000	23	0.589	3.819	3.819	-0.034		344.875	29	0.482	839403734889375639	839403591565807219	839403591565807218	5	
1	C6H5NOSi	[M + Na]+	C6H5NNaOSi+	0.999	0.951	11.032	11.032	0.000	2	0.012	-0.103	1.905	-1.810		158.003	29	0.483	839403712638591100	839403591075073635	839403591054102114	1	
1	C2H5F2O4PS	[M + Na]+	C2H5F2NaO4PS+	0.645	0.786	31.087	31.087	0.000	8	0.190	1.389	1.887	-0.246		216.951	29	0.484	839403721056559939	839403591284788839	839403591280594534	2	
1	C6H6Cl3N3O3	[M - H2O + H]+	C6H5Cl3N3O2+	0.364	0.245	14.847	14.847	0.000	6	0.256	-0.070	2.054	-70369.449		255.944	29	0.486	839403719961846431	839403591486115439	839403591481921134	4	
1	CH4Cl2N2O3	[M - H2O + H]+	CH3Cl2N2O2+	0.609	0.478	17.994	17.994	0.000	5	0.058	4.564	4.564	-124245.755		144.957	29	0.486	839403731282273836	839403591712607867	839403591712607866	7	
1	C6H16N2O2	[M - H2O + H]+	C6H15N2O+	0.937	0.333	79.270	79.270	0.000	15	0.222	6.405	6.561	-137360.827		131.118	29	0.486	839403733840799528	839403591955877511	839403591951683206	10	
1	CH5O7P	[M + K]+	CH5KO7P+	1.000	1.000	22.757	22.757	0.000	3	0.745	-0.622	0.622	-1.745		198.940	29	0.487	839403731982722674	839403591645498999	839403591641304694	6	
1	C3H2N2O3P2	[M + K]+	C3H2KN2O3P2+	0.927	0.995	20.413	18.549	1.864	5	0.280	3.047	3.047	1.939		214.918	29	0.488	839403711254470723	839403591888768643	839403591884574338	9	
1	CHN2O3S	[M + Na]+	CHN2NaO3S+	0.900	0.252	5.441	5.441	0.000	3	0.006	-6.041	6.041	-6.555		143.959	29	0.488	839403725154395282	839403591809076863	839403591804882558	8	
