feature_id	sources_IK2D	sources_number_IK2D	sources_npc_pathway	sources_npc_superclass	sources_npc_class	canopus_formulaRank	canopus_molecularFormula	canopus_adduct	canopus_precursorFormula	canopus_npc_pathway	canopus_NPC#pathway Probability	canopus_npc_superclass	canopus_NPC#superclass Probability	canopus_npc_class	canopus_NPC#class Probability	canopus_ClassyFire#superclass	canopus_ClassyFire#superclass probability	canopus_ClassyFire#class	canopus_ClassyFire#class Probability	canopus_ClassyFire#subclass	canopus_ClassyFire#subclass Probability	canopus_ClassyFire#level 5	canopus_ClassyFire#level 5 Probability	canopus_ClassyFire#most specific class	canopus_ClassyFire#most specific class Probability	canopus_ClassyFire#all classifications	canopus_ionMass	canopus_retentionTimeInSeconds	canopus_retentionTimeInMinutes	canopus_formulaId	canopus_alignedFeatureId	canopus_compoundId	canopus_overallFeatureQuality	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_IK2D	gnps_superclass	gnps_class	gnps_subclass	gnps_npc_superclass	gnps_npc_class	gnps_npc_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_IK2D	isdb_npc_pathway	isdb_npc_superclass	isdb_npc_class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_IK2D	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_compoundId	sirius_overallFeatureQuality	gnps_mn_parent mass	gnps_mn_RTMean	gnps_mn_ATTRIBUTE_Group:GNPSGROUP:nan	gnps_mn_ATTRIBUTE_Group:GNPSGROUP:BB	gnps_mn_ATTRIBUTE_Group:GNPSGROUP:IAA	gnps_mn_ATTRIBUTE_Group:GNPSGROUP:Pt	gnps_mn_ATTRIBUTE_Group:GNPSGROUP:QC	gnps_mn_ATTRIBUTE_Group:GNPSGROUP:wt	gnps_mn_ATTRIBUTE_Group_detailed:GNPSGROUP:nan	gnps_mn_ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_1	gnps_mn_ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_2	gnps_mn_ATTRIBUTE_Group_detailed:GNPSGROUP:wt_1	gnps_mn_ATTRIBUTE_Group_detailed:GNPSGROUP:wt_2	gnps_mn_ATTRIBUTE_Group_super_detailed:GNPSGROUP:nan	gnps_mn_ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1A	gnps_mn_ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1B	gnps_mn_ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2A	gnps_mn_ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2B	gnps_mn_ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1A	gnps_mn_ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1B	gnps_mn_ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2A	gnps_mn_ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2B	gnps_mn_ATTRIBUTE_time_point:GNPSGROUP:nan	gnps_mn_ATTRIBUTE_time_point:GNPSGROUP:0m	gnps_mn_ATTRIBUTE_time_point:GNPSGROUP:20m	gnps_mn_ATTRIBUTE_plant_extract:GNPSGROUP:nan	gnps_mn_ATTRIBUTE_plant_extract:GNPSGROUP:A	gnps_mn_ATTRIBUTE_plant_extract:GNPSGROUP:B	gnps_mn_ATTRIBUTE_gene_time:GNPSGROUP:nan	gnps_mn_ATTRIBUTE_gene_time:GNPSGROUP:Pt_0m	gnps_mn_ATTRIBUTE_gene_time:GNPSGROUP:Pt_20m	gnps_mn_ATTRIBUTE_gene_time:GNPSGROUP:wt_0m	gnps_mn_ATTRIBUTE_gene_time:GNPSGROUP:wt_20m	gnps_mn_component	gnps_mn_#Scan#	gnps_mn_Compound_Name
1	isdb & sirius	1.0	canopus & isdb	canopus & isdb	canopus & isdb	6.0	C44H58N2O2	[M + H]+	C44H59N2O2+	Alkaloids	0.245	Flavonoids	0.206	Chalcones	0.281	Benzenoids	0.995	Benzene and substituted derivatives	0.97	Phenylpropanes	0.969			Phenylpropanes	0.969	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	647.459	28.0	0.466	8.394086060605146e+17	8.39408474850099e+17	8.394084748333217e+17																																															-1.0							1.0	0.46669862	ISDB	http://www.wikidata.org/entity/Q104916547	APTYMLOLERDMRK-FQPZWGHWSA-N	InChI=1S/C42H62O5/c1-26-10-14-31-37(3,4)18-8-19-38(31,5)30(26)13-11-28-16-22-41(23-17-28)29-12-15-32-39(6)20-9-21-40(7,36(45)46)33(39)24-34(47-27(2)43)42(32,25-29)35(41)44/h16,29-34H,1,8-15,17-25H2,2-7H3,(H,45,46)/t29-,30-,31-,32+,33+,34+,38+,39+,40-,41-,42-/m1/s1	C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CCC1=CC[C@]2(CC1)C(=O)[C@]13C[C@H]2CC[C@H]1[C@]1(C)CCC[C@@](C)(C(=O)O)[C@H]1C[C@@H]3OC(C)=O	C42H62O5		646.459725084	(1'R,2'S,4S,4'S,5'R,9'S,10'S,13'R)-1-[2-[(1R,4aR,8aR)-5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethyl]-2'-acetyloxy-5',9'-dimethyl-15'-oxospiro[cyclohexene-4,14'-tetracyclo[11.2.1.01,10.04,9]hexadecane]-5'-carboxylic acid	APTYMLOLERDMRK	Terpenoids	Diterpenoids	Kaurane and Phyllocladane diterpenoids	http://www.wikidata.org/entity/Q10835242	Xylopia emarginata	3867957.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Magnoliales']	['Annonaceae']	['Xylopieae']	['Xylopia']	['Xylopia emarginata']											0.0	0.0	1.866794466972351	1.0	1.0	6.0	0.516	0.516	-123.74	0.029	0.008	33.877	C44H58N2O2	[M + H]+	C44H59N2O2+	TYNKOKJGRQOVMR	InChI=1S/C44H58N2O2/c1-41(2,3)33-17-25-13-29-21-35(43(7,8)9)23-31(39(29)47)15-27-19-34(42(4,5)6)20-28(38(27)46)16-32-24-36(44(10,11)12)22-30(40(32)48)14-26(18-33)37(25)45/h17-24,47-48H,13-16,45-46H2,1-12H3	1,3-Diaminocalix[4]arene	CC(C)(C)C1=CC2=C(C(=C1)CC3=CC(=CC(=C3O)CC4=CC(=CC(=C4N)CC5=C(C(=CC(=C5)C(C)(C)C)C2)O)C(C)(C)C)C(C)(C)C)N	12.3	101793423	PUBCHEM:(101793423)	2.0	647.459	28.0	0.466	8.394086060605146e+17	8.39408474850099e+17	8.394084748333217e+17		647.4590128494212	0.4661935	0	0.0	5667177.5	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	-1		
2																																																																																																																																																									1140.2702514674563	0.47101942	0	0.0	0.0	561570.72375	0.0	835942.8875	0	653199.51	469941.9375	1086295.8	585589.975	0	472327.1	834071.9199999999	422622.25	517261.625	659712.3	1512879.3	1171179.95	0.0	0	724308.1675	673205.44375	0	681460.4	716053.2112499999	0	606999.2849999999	516142.1625	841617.05	830268.725	31		
3																																																																																																																																																									1228.2898841542608	0.46788123	0	0.0	0.0	1090086.625	0.0	1399120.7	0	1092535.81	1087637.44	1673011.95	1125229.45	0	1030821.55	1154250.0699999998	916423.23	1258851.65	1412481.95	1933541.95	1783595.5	466863.4	0	1284385.93	1204821.395	0	1285830.5575	1203376.7675	0	1045062.435	1135110.815	1523709.425	1274531.975	31		
4																																																																																																																																																									1227.2934071941431	0.47013417	0	0.0	0.0	1089192.7825	0.0	1446005.895	0	1070705.275	1107680.29	1737349.19	1154662.6	0	983349.2	1158061.35	864625.5800000001	1350735.0	1459356.9300000002	2015341.45	1798830.85	510494.35	0	1325474.9125	1209723.765	0	1276540.64	1258658.0375	0	1032492.45	1145893.115	1618457.375	1273554.415	31		
5																																																																																																																																																									957.2734482091288	0.4705798	0	0.0	0.0	1637703.0	0.0	2291590.4375	0	1662145.875	1613260.125	2479985.475	2103195.4	0	1575552.8	1748738.95	1363864.75	1862655.5	1947088.05	3012882.9	2912635.2	1293755.6	0	1899160.2125	2030133.225	0	1949785.2	1979508.2375	0	1655042.375	1620363.625	2143278.05	2439902.825	31		
6																																																																																																																																																									1005.2367607402526	0.47241905	0	0.0	0.0	2545252.8375	242646.04166666663	3589320.85	0	2566777.275	2523728.4	4302890.1	2875751.6	0	2518318.3	2615236.25	2150672.3	2896784.5	3265185.7	5340594.5	4090372.65	1661130.5499999998	0	2966872.4625	3167701.225	0	3006137.2375	3128436.45	0	2562700.875	2527804.8	3371044.05	3807597.65	31		
7																																																																																																																																																									1226.2915860552714	0.4684127	0	0.0	0.0	917012.1575	0.0	1241100.8075	0	989866.765	844157.55	1498474.365	983727.25	0	931213.23	1048520.3	559878.0	1128437.1	1294199.03	1702749.7	1540673.15	426781.35	0	1182960.475	975152.49	0	1081490.8525	1076622.1125	0	969780.05	864244.265	1396140.9	1086060.715	31		
8																																																																																																																																																									1215.2905188407235	0.47327524	0	0.0	0.0	577954.19	0.0	828668.0925	0	697460.49	458447.89	1088700.185	568636.0	0	502522.78	892398.2	408990.0	507905.78	665171.25	1512229.12	1137272.0	0.0	0	736344.1625	670278.1199999999	0	678489.0075000001	728133.2749999999	0	633108.94	522799.44	839579.385	817756.7999999999	31		
9																																																																																																																																																									1153.2744399143198	0.47058123	0	0.0	0.0	1955717.5875	0.0	2554595.7625	0	1935363.6	1976071.575	2924108.3	2185083.225	0	1823372.1	2047355.1	1614205.1	2337938.05	2412474.35	3435742.25	2977410.35	1392756.1	0	2218667.1	2291646.25	0	2206865.475	2303447.875	0	1921701.225	1989733.95	2515632.975	2593558.55	31		
10																																																																																																																																																									956.2722002168952	0.47198474	0	0.0	0.0	1766578.6	0.0	2358846.275	0	1771379.725	1761777.475	2702882.6500000004	2014809.9	0	1607809.25	1934950.2	1474456.35	2049098.6	2123904.1500000004	3281861.15	2787614.0	1242005.7999999998	0	2037160.3625	2088264.5125	0	1998445.9375	2126978.9375	0	1755582.075	1777575.125	2318738.65	2398953.9	31		
