#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
783	spectra_filtered.mgf	*..*		:2887	379	-1	0	279.232	1	0.829928	0	0	759178.0	576069.0	gamma-Linolenic acid (known structural isomers: 0; isobaric peaks in run: 2) [M+H]+	CMMC-FOOD-BIOMARKERS	temp/spectra_filtered.mgf783	-1	CMMC-FOOD-BIOMARKERS.mgf	3524.31				9	0	0.9841	278.248	0	CCMSLIB00013576563
560	spectra_filtered.mgf	*..*		:27596	48577	-1	0	288.121	0	0.829919	0	0	304.828	108145.0	ANISOMYCIN [M+Na]+	MONA	temp/spectra_filtered.mgf560	-1	MONA.mgf	585.416				7	0	0.168671	288.29	0	CCMSLIB00004721177
237	spectra_filtered.mgf	*..*		:918	4951	-1	0	163.039	1	0.825477	0	0	56824.0	886008.0	Spectral Match to Rosmarinic acid from NIST14 M+H-C9H10O5	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf237	-1	GNPS-NIST14-MATCHES.mgf	0.0				6	0	0.0	163.039	0	CCMSLIB00003139438
655	spectra_filtered.mgf	*..*		:2255	326	-1	0	279.231	1	0.824077	0	0	1008200.0	897612.0	Spectral Match to 9(10)-EpOME from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf655	-1	GNPS-NIST14-MATCHES.mgf	3520.72				8	0	0.983093	278.248	0	CCMSLIB00003134812
665	spectra_filtered.mgf	*..*		:2796	236	-1	0	279.232	1	0.821016	0	0	942813.0	588409.0	Spectral Match to 9(10)-EpOME from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf665	-1	GNPS-NIST14-MATCHES.mgf	3524.31				7	0	0.9841	278.248	0	CCMSLIB00003134722
827	spectra_filtered.mgf	*..*		:3168	3168	-1	0	247.0	1	0.820512	0	0	592.682	186418.0	MoNA:2479447 O-Galactosylsphingosine M+H	MONA	temp/spectra_filtered.mgf827	-1	MONA.mgf	7180.65				9	0	1.77362	245.226	0	CCMSLIB00000565916
96	spectra_filtered.mgf	*..*		:26612	46478	-1	0	144.066	1	0.818396	0	0	308.115	5623890.0	4-Hydroxy-6-Methylpyran-2-One [M+NH4]+	MONA	temp/spectra_filtered.mgf96	-1	MONA.mgf	13472.4				8	0	1.94092	146.007	0	CCMSLIB00004719078
904	spectra_filtered.mgf	*..*		:2578	3297	-1	0	563.552	1	0.81611	0	0	5172120.0	232405.0	Spectral Match to 9-Octadecenamide, (Z)- from NIST14 2M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf904	-1	GNPS-NIST14-MATCHES.mgf	1.19135				9	0	0.000671387	563.551	0	CCMSLIB00003137784
228	spectra_filtered.mgf	*..*		:918	4951	-1	0	163.039	1	0.814567	0	0	56824.0	737879.0	Spectral Match to Rosmarinic acid from NIST14 M+H-C9H10O5	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf228	-1	GNPS-NIST14-MATCHES.mgf	0.0				6	0	0.0	163.039	0	CCMSLIB00003139438
851	spectra_filtered.mgf	*..*		:4558	5483	-1	0	307.262	0	0.811304	0	0	480367.0	163226.0	Spectral Match to cis-5,8,11-Eicosatrienoic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf851	-1	GNPS-NIST14-MATCHES.mgf	3199.03				8	0	0.982941	306.279	0	CCMSLIB00003139970
98	spectra_filtered.mgf	*..*		:43596	43596	-1	0	154.05	1	0.810407	0	0	29.8	216980.0	1-methyl-6-oxo-1,6-dihydropyridine-3-carboxylic acid [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf98	-1	MSNLIB-POSITIVE.mgf	12601.1				6	0	1.94119	155.991	0	CCMSLIB00012355090
940	spectra_filtered.mgf	*..*		:3144	709	-1	0	338.23	0	0.808105	0	0	825717.0	130931.0	3-hydroxylauroyl valine [M+Na]+ [M+Na]+	3-HYDROXY-ACYL-AMIDES-LIBRARY	temp/spectra_filtered.mgf940	-1	3-HYDROXY-ACYL-AMIDES-LIBRARY.mgf	329.961				8	0	0.111603	338.342	0	CCMSLIB00013641540
897	spectra_filtered.mgf	*..*		:6012	2362	-1	0	282.279	1	0.803002	0	0	283986.0	34007200.0	Spectral Match to 9-Octadecenamide, (Z)- from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf897	-1	GNPS-NIST14-MATCHES.mgf	4181.64				10	0	1.18039	283.459	0	CCMSLIB00003136849
935	spectra_filtered.mgf	*..*		:2518	317	-1	0	297.278	1	0.802591	0	0	980658.0	1421030.0	Spectral Match to Phytomonic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf935	-1	GNPS-NIST14-MATCHES.mgf	3307.6				11	0	0.983276	296.295	0	CCMSLIB00003134803
1009	spectra_filtered.mgf	*..*		:7852	26315	-1	0	685.174	1	0.802436	0	0	603.568	510585.0	7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-6-methoxychromen-2-one [M+K]+	MONA	temp/spectra_filtered.mgf1009	-1	MONA.mgf	1416.55				13	0	0.970581	684.203	0	CCMSLIB00004698915
932	spectra_filtered.mgf	*..*		:1406	4504	-1	0	552.197	1	0.80084	0	0	514612.0	270474.0	Contaminant vial septum ThermoFisher C5000-44B M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf932	-1	GNPS-LIBRARY.mgf	3584.65				11	0	1.97943	554.176	0	CCMSLIB00005435829
968	spectra_filtered.mgf	*..*		:20	282	-1	0	145.047	1	0.796109	0	0	397558.0	857289.0	ERYTHRITOL M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf968	-1	GNPS-MSMLS.mgf	7501.0				6	0	1.088	143.959	0	CCMSLIB00005464033
793	spectra_filtered.mgf	*..*		:3192	1670	-1	0	255.232	1	0.795386	0	0	243558.0	47779600.0	Spectral Match to Palmitelaidic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf793	-1	GNPS-NIST14-MATCHES.mgf	3855.71				8	0	0.9841	254.248	0	CCMSLIB00003136157
170	spectra_filtered.mgf	*..*		:20	282	-1	0	145.047	1	0.791261	0	0	397558.0	220930.0	ERYTHRITOL M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf170	-1	GNPS-MSMLS.mgf	7500.47				6	0	1.08792	143.959	0	CCMSLIB00005464033
958	spectra_filtered.mgf	*..*		:20	282	-1	0	145.047	1	0.791069	0	0	397558.0	872848.0	ERYTHRITOL M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf958	-1	GNPS-MSMLS.mgf	7501.0				6	0	1.088	143.959	0	CCMSLIB00005464033
833	spectra_filtered.mgf	*..*		:10729	29192	-1	0	447.105	1	0.787126	0	0	359.751	335378.0	(1S,3R,6R,7S,8S,10R,13S,16S,17R)-8-tert-butyl-6,17-dihydroxy-16-methyl-2,4,14,19-tetraoxahexacyclo[8.7.2.0,.0,?.0?,.0,?]nonadecane-5,15,18-trione [M+K]+	MONA	temp/spectra_filtered.mgf833	-1	MONA.mgf	4439.44				11	0	1.98489	445.12	0	CCMSLIB00004701792
728	spectra_filtered.mgf	*..*		:3878	22341	-1	0	404.207	1	0.787043	0	0	198.739	175871.0	eudesmin [M+NH4]+	MONA	temp/spectra_filtered.mgf728	-1	MONA.mgf	4574.92				6	0	1.84921	402.358	0	CCMSLIB00004694941
787	spectra_filtered.mgf	*..*		:3107	20754	-1	0	501.365	1	0.779323	0	0	22283.5	203281.0	UCA_4-aminopyridine [CCS=227.9246063232422] [M+NH4]+	GNPS-ION-MOBILITY-LIBRARY	temp/spectra_filtered.mgf787	-1	GNPS-ION-MOBILITY-LIBRARY.mgf	2012.63				10	0	1.00906	502.374	0	CCMSLIB00017430170
196	spectra_filtered.mgf	*..*		:21	198	-1	0	257.147	1	0.778137	0	0	4072860.0	2850010.0	BETAINE 2M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf196	-1	GNPS-MSMLS.mgf	3901.41				7	0	1.00323	258.15	0	CCMSLIB00005463949
190	spectra_filtered.mgf	*..*		:21	198	-1	0	257.147	1	0.776553	0	0	4072860.0	2212920.0	BETAINE 2M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf190	-1	GNPS-MSMLS.mgf	3901.88				6	0	1.00336	258.15	0	CCMSLIB00005463949
107	spectra_filtered.mgf	*..*		:18440	118879	-1	0	217.108	1	0.774087	0	0	256.027	1140440.0	Z509568846 [M+H-2H2O]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf107	-1	MSNLIB-POSITIVE.mgf	430.899				6	0	0.0935516	217.014	0	CCMSLIB00012769292
955	spectra_filtered.mgf	*..*		:1120	893	-1	0	311.257	1	0.772832	0	0	651644.0	3567560.0	Spectral Match to Monopalmitolein (9c) from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf955	-1	GNPS-NIST14-MATCHES.mgf	3041.3				9	0	0.946625	310.31	0	CCMSLIB00003135379
217	spectra_filtered.mgf	*..*		:1411	128	-1	0	283.175	1	0.77229	0	0	25620800.0	527099.0	Spectral Match to Hexaethylene glycol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf217	-1	GNPS-NIST14-MATCHES.mgf	3643.47				7	0	1.03174	284.207	0	CCMSLIB00003134614
816	spectra_filtered.mgf	*..*		:5206	5206	-1	0	281.247	1	0.77089	0	0	476.055	57946600.0	MoNA:790536 Linoleic acid M+H	MONA	temp/spectra_filtered.mgf816	-1	MONA.mgf	3496.56				10	0	0.983398	280.264	0	CCMSLIB00000567955
684	spectra_filtered.mgf	*..*		:5704	17703	-1	0	281.247	1	0.770411	0	0	1011200.0	370012.0	Massbank:EQ331603 Linoleic acid|(9Z,12Z)-octadeca-9,12-dienoic acid M+H	MASSBANK	temp/spectra_filtered.mgf684	-1	MASSBANK.mgf	3497.0				10	0	0.983521	280.263	0	CCMSLIB00005731255
657	spectra_filtered.mgf	*..*		:30305	30305	-1	0	316.321	1	0.7695	0	0	172.829	97150.8	METHYL STEARATE [M+NH4]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf657	-1	MSNLIB-POSITIVE.mgf	0.28943				6	0	9.15527e-05	316.321	0	CCMSLIB00012328316
