formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C21H23NO5	[M + H3N + H]+	C21H27N2O5+	0.995	0.327	69.538	64.182	5.356	9	0.533	3.873	3.873	4.188		387.193	36	0.608	839146772691008914	839146026171990008	839146026171990007	117	
1	C21H35NO4	[M + K]+	C21H35KNO4+	1.000	1.000	121.501	121.501	0.000	24	0.384	-1.406	1.406	-2.627		404.219	37	0.610	839146772644871553	839146026243293184	839146026239098879	119	
1	C9H20O4	[M + H]+	C9H21O4+	1.000	1.000	21.889	21.889	0.000	4	0.133	-0.883	1.161	-1.194		193.143	37	0.612	839146579094517509	839146026205544444	839146026205544443	118	
1	C18H32O5	[M - H2O + H]+	C18H31O4+	0.747	0.488	31.877	31.877	0.000	6	0.029	-0.116	0.785	-57871.589		311.221	37	0.620	839146768601562437	839146026314596360	839146026314596359	121	
1	C37H66O5	[M + Na]+	C37H66NaO5+	1.000	1.000	119.369	119.369	0.000	38	0.823	1.619	1.624	4.522	DG(16:0_18:3)	613.483	37	0.621	839146150524717935	839146026436231188	839146026436231187	124	
1	C13H26N2O2	[M - H2O + H]+	C13H25N2O+	0.610	0.333	37.176	37.176	0.000	8	0.655	0.954	0.954	-79976.923		225.196	37	0.622	839146608777607350	839146026398482448	839146026398482447	123	
1	C43H79NO10	[M + Na]+	C43H79NNaO10+	0.890	0.883	153.310	149.657	3.653	43	0.921	0.658	1.352	3.245		792.562	37	0.623	839146531975705626	839146026360733708	839146026356539403	122	
1	C43H70N6O9	[M - H2O + H]+	C43H69N6O8+	0.609	0.327	66.805	66.805	0.000	20	0.466	5.071	5.071	-22582.922		797.517	38	0.629	839146612149827794	839146026478174232	839146026478174231	125	
1	C44H78O9P	[M - H2O + H]+	C44H77O8P+	0.514	0.500	210.486	205.077	5.409	52	0.931	0.242	1.194	-23563.038		764.531	38	0.629	839146624644659578	839146026541088796	839146026536894491	126	
1	C41H66N6O9	[M - H2O + H]+	C41H65N6O8+	0.618	0.320	72.700	72.700	0.000	22	0.504	4.038	4.038	-23405.440		769.486	38	0.639	839146182263017539	839146026583031840	839146026583031839	127	
