feature_id	IK2D	Sources	SMILES	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_superclass	gnps_class	gnps_subclass	gnps_npclassifier_superclass	gnps_npclassifier_class	gnps_npclassifier_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_compoundId	sirius_overallFeatureQuality
2	AAWZDTNXLSGCEK	gnps	OC1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O	CCMSLIB00005464410	spectra_filtered.mgf	GNPS-MSMLS.mgf	0.726086	346627.0	0.0	8823.86	6.0	1.8976	216.951	1.0	temp/spectra_filtered.mgf2	1.0	QUINATE	ESI	Orbitrap	Commercial	Dorrestein	Kelly Weldon	M+Na	215.053	192.063	1.0	77-95-2		OC1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O	"""InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)/t3-,4?,5-,7+/m1/s1"""		1.0	Positive	GNPS-MSMLS	215.053	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C7H12O6	AAWZDTNXLSGCEK-RKGSPJAZSA-N	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Phenolic acids (C6-C1)	Shikimic acids and derivatives|Simple phenolic acids	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005464410																																																																								
2	GLUJWFUQCUMIGK	sirius	C1(=C(C(=O)C(=O)C(=C1F)F)F)O																																																																																												1.0	2.0	-inf	-inf	-64.496	0.29	0.192	29.679	C6HF3O3	[M + K]+	C6HF3KO3+	InChI=1S/C6HF3O3/c7-1-2(8)5(11)6(12)3(9)4(1)10/h10H	3,4,6-Trifluoro-5-hydroxycyclohexa-3,5-diene-1,2-dione	C1(=C(C(=O)C(=O)C(=C1F)F)F)O	0.2	23423098	PUBCHEM:(23423098);DSSTox:(DTXSID50633882)	137438953474.0	216.951	29.0	0.484	8.3940372105656e+17	8.394035912847889e+17	8.394035912805946e+17	
3	BXVCXZREYQLVTA	sirius	C(C1=C(C(=O)NC(=O)N1)Cl)Cl																																																																																												1.0	3.0	0.047	0.047	-112.177	0.028	0.182	52.961	C5H4Cl2N2O2	[M + K]+	C5H4Cl2KN2O2+	InChI=1S/C5H4Cl2N2O2/c6-1-2-3(7)4(10)9-5(11)8-2/h1H2,(H2,8,9,10,11)	5-Chloro-6-(chloromethyl)pyrimidine-2,4(1H,3H)-dione	C(C1=C(C(=O)NC(=O)N1)Cl)Cl	0.3	4171056	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(4171056);DSSTox:(DTXSID70400235)	137506062338.0	232.928	29.0	0.482	8.394037256073801e+17	8.394035913896465e+17	8.394035913854522e+17	
4	KBWNOFMJVVPCQQ	sirius	C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)NN																																																																																												1.0	3.0	0.041	0.041	-117.356	0.201	0.245	14.847	C6H4Cl3N3O2	[M + H]+	C6H5Cl3N3O2+	InChI=1S/C6H4Cl3N3O2/c7-1-3(12-10)2(8)5(9)11-4(1)6(13)14/h10H2,(H,11,12)(H,13,14)	3,5,6-Trichloro-4-hydrazinylpyridine-2-carboxylic acid	C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)NN	-0.1	3282540;1383439	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(3282540 1383439);DSSTox:(DTXSID90362568);PUBMED:(null)	137506062402.0	255.944	29.0	0.486	8.394037199618464e+17	8.394035914861155e+17	8.394035914819212e+17	
7	ZEDQJRCRUCUAIV	sirius	C(#N)NP(O)O																																																																																												1.0	3.0	0.011	0.011	-44.56	0.194	0.026	15.084	CH3N2O2P	[M + K]+	CH3KN2O2P+	InChI=1S/CH3N2O2P/c2-1-3-6(4)5/h3-5H	(Cyanoamino)phosphonous acid	C(#N)NP(O)O	-0.7	23118660	PUBCHEM:(23118660)	2.0	144.957	29.0	0.486	8.394037312822738e+17	8.394035917126079e+17	8.394035917126079e+17	
9	AAWZDTNXLSGCEK	gnps	OC1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O	CCMSLIB00005464410	spectra_filtered.mgf	GNPS-MSMLS.mgf	0.74877	7809280.0	0.0	629.43	6.0	0.135361	214.918	1.0	temp/spectra_filtered.mgf9	1.0	QUINATE	ESI	Orbitrap	Commercial	Dorrestein	Kelly Weldon	M+Na	215.053	192.063	1.0	77-95-2		OC1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O	"""InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)/t3-,4?,5-,7+/m1/s1"""		1.0	Positive	GNPS-MSMLS	215.053	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C7H12O6	AAWZDTNXLSGCEK-RKGSPJAZSA-N	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Phenolic acids (C6-C1)	Shikimic acids and derivatives|Simple phenolic acids	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005464410																																																																								
10	JBKVHLHDHHXQEQ	isdb	O=C1CCCCCN1																																													14.0	Alkaloids	0.5	Lysine alkaloids	0.5	Piperidine alkaloids	0.5	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q409397	JBKVHLHDHHXQEQ-UHFFFAOYSA-N	InChI=1S/C6H11NO/c8-6-4-2-1-3-5-7-6/h1-5H2,(H,7,8)	O=C1CCCCCN1	C6H11NO	pos_1_1proton1ammonium	113.084063972	Caprolactam	Alkaloids	Lysine alkaloids	Piperidine alkaloids	http://www.wikidata.org/entity/Q181095	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']		8.0	3.0	9.5	1.0																									
10	WFCSWCVEJLETKA	sirius	C1CN(CCN1)CCO																																																																																												1.0	2.0	0.684	0.799	-16.933	0.051	0.333	79.27	C6H14N2O	[M + H]+	C6H15N2O+	InChI=1S/C6H14N2O/c9-6-5-8-3-1-7-2-4-8/h7,9H,1-6H2	2-(2,2,3,3,4,5,6,6-Octadeuteriopiperazin-1-yl)ethanol	C1CN(CCN1)CCO	-1.1	87731533;126455939;28102464;153914409;7677;46783607;3904578;3931952;57736167;57736172;57736174	PUBCHEMANNOTATIONBIO:(null);NORMAN:(NS00019633 NS00082642);HMDB:(HMDB0254989);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(7677);PUBCHEM:(87731533 126455939 28102464 153914409 7677 46783607 3904578 3931952 57736167 57736172 57736174);DSSTox:(DTXSID3021853 DTXSID60676245 DTXSID60972592);PUBMED:(null)	137527296074.0	131.118	29.0	0.486	8.394037338407995e+17	8.394035919558775e+17	8.394035919516832e+17	
12	GDEQICJHJBGISZ	sirius	C1=CC=C(C=C1)NC(=S)NNC(=O)C2=CC=NC=C2																																																																																												1.0	3.0	0.152	0.152	-196.616	0.248	0.381	10.355	C13H12N4OS	[M + Na]+	C13H12N4NaOS+	InChI=1S/C13H12N4OS/c18-12(10-6-8-14-9-7-10)16-17-13(19)15-11-4-2-1-3-5-11/h1-9H,(H,16,18)(H2,15,17,19)	N-[(phenylcarbamothioyl)amino]pyridine-4-carboxamide	C1=CC=C(C=C1)NC(=S)NNC(=O)C2=CC=NC=C2	1.6	667830	COCONUT:(CNP0021995);BloodExposome:(667830);PUBCHEM:(667830);PUBMED:(null)	6291522.0	295.063	30.0	0.502	8.394037165476827e+17	8.394035920984838e+17	8.394035920942895e+17	
13	IVVWEXBDAVORAA	sirius	CCN(CC)C(=NP(=O)(O)OCC)C																																																																																												1.0	1.0	0.045	0.045	-142.711	1.0	1.0	39.729	C8H19N2O3P	[M + K]+	C8H19KN2O3P+	InChI=1S/C8H19N2O3P/c1-5-10(6-2)8(4)9-14(11,12)13-7-3/h5-7H2,1-4H3,(H,11,12)	O-ethyl (1-(diethylamino)ethylidene)phosphoramidic acid	CCN(CC)C(=NP(=O)(O)OCC)C	0.0	146673241;166449964	PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(146673241 166449964)	16777218.0	261.076	30.0	0.501	8.394037161072808e+17	8.39403592169787e+17	8.39403592169787e+17	
14	BHDHDAODDSAJFF	sirius	CC(=C)CN1C(=O)C2=C(NC(=O)N2)NC1=O																																																																																												1.0	2.0	0.227	0.227	-90.323	0.288	0.333	24.586	C9H10N4O3	[M + H3N + H]+	C9H14N5O3+	InChI=1S/C9H10N4O3/c1-4(2)3-13-7(14)5-6(12-9(13)16)11-8(15)10-5/h1,3H2,2H3,(H,12,16)(H2,10,11,15)	1-(2-methylprop-2-enyl)-7,9-dihydro-3H-purine-2,6,8-trione	CC(=C)CN1C(=O)C2=C(NC(=O)N2)NC1=O	-0.565	141182638	PUBCHEM:(141182638)	2.0	240.109	30.0	0.507	8.3940371529778e+17	8.394035922410902e+17	8.394035922368959e+17	
14	LYSGIJUGUGJIPS	isdb	CC/C=C\C[C@H]1[C@@H](CC(=O)O)CC[C@@H]1O																																													73.0	Fatty acids	0.3333333333333333	Octadecanoids	0.3333333333333333	Jasmonic acids	0.3333333333333333	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q1143102	LYSGIJUGUGJIPS-UOMVISFLSA-N	InChI=1S/C12H20O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-11,13H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10+,11+/m1/s1	CC/C=C\C[C@H]1[C@@H](CC(=O)O)CC[C@@H]1O	C12H20O3	pos_2MFe	212.1412445	(+)-Cucurbic acid	Fatty acids	Octadecanoids	Jasmonic acids	http://www.wikidata.org/entity/Q23501	Solanum lycopersicum	378964.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum lycopersicum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']				6.0	3.0	7.5	1.0																									
