feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
1004	1.0	0.6664223	ISDB	http://www.wikidata.org/entity/Q105008622	GHNFQFAWPOCNIL-BFHYXJOUSA-N	InChI=1S/C15H30N2O/c1-9(2)7-12-14(11(5)6)17-15(18)13(16-12)8-10(3)4/h9-14,16H,7-8H2,1-6H3,(H,17,18)/t12-,13+,14+/m0/s1	CC(C)C[C@@H]1N[C@H](CC(C)C)C(=O)N[C@@H]1C(C)C	C15H30N2O	nan	254.23581358	(+)-Piperazirum	GHNFQFAWPOCNIL	Alkaloids	nan	nan	http://www.wikidata.org/entity/Q2866021	Arum palaestinum	703425.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Alismatales']	['Araceae']	['Areae']	['Arum']	['Arum palaestinum']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	2.66568922996521	1	3	Fatty acids	0.5588235294117647	Fatty amides	0.35294117647058826	Primary amides	0.20588235294117646
1006	2.0	0.90013987	ISDB	http://www.wikidata.org/entity/Q105005727	GAZOZLXFXCZLCJ-NLRWUALESA-N	InChI=1S/C15H26O/c1-10-6-5-8-15(4)9-7-11-12(15)13(10)16-14(11,2)3/h10-13H,5-9H2,1-4H3/t10-,11+,12+,13-,15-/m1/s1	C[C@@H]1CCC[C@]2(C)CC[C@H]3[C@H]2[C@@H]1OC3(C)C	C15H26O	nan	222.198365452	(1R,4S,7R,11R,12R)-3,3,7,11-tetramethyl-2-oxatricyclo[5.4.1.04,12]dodecane	GAZOZLXFXCZLCJ	Terpenoids	Sesquiterpenoids	Isodaucane sesquiterpenoids	http://www.wikidata.org/entity/Q15314437	Saccobasis polita	245465.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Jungermanniopsida']	['Jungermanniales']	['Scapaniaceae']	['Unknown']	['Saccobasis']	['Saccobasis polita']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	2	4.60055947303772	1	4	Terpenoids	0.5769230769230769	Sesquiterpenoids	0.4358974358974359	Fatty aldehydes	0.3333333333333333
1008	1.0|1.0	0.0|0.0	MS1_match|MS1_match	http://www.wikidata.org/entity/Q115785164|http://www.wikidata.org/entity/Q409564	OBETXYAYXDNJHR-ZETCQYMHSA-N|WWZKQHOCKIZLMA-UHFFFAOYSA-N	InChI=1S/C8H16O2/c1-3-5-6-7(4-2)8(9)10/h7H,3-6H2,1-2H3,(H,9,10)/t7-/m0/s1|InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)	CCCC[C@H](CC)C(=O)O|CCCCCCCC(=O)O	C8H16O2|C8H16O2	pos_2MCH3CNNa|pos_2MCH3CNNa	144.115029752|144.115029752	(S)-2-Ethylhexanoic acid|Hydron;octanoate	OBETXYAYXDNJHR|WWZKQHOCKIZLMA	Fatty acids|Fatty acids	Fatty Acids and Conjugates|Fatty Acids and Conjugates	Branched fatty acids|Branched fatty acids	http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q181095	Nicotiana tabacum|Nicotiana tabacum	222787.0|222787.0	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Solanales']|['Solanales']	['Solanaceae']|['Solanaceae']	['Nicotianeae']|['Nicotianeae']	['Nicotiana']|['Nicotiana']	['Nicotiana tabacum']|['Nicotiana tabacum']	nan|nan	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Solanales']|['Solanales']	['Solanaceae']|['Solanaceae']	['Nicotianeae']|['Nicotianeae']	['Nicotiana']|['Nicotiana']	nan|nan	8|8	3|3	9.5|9.5	1|1	41	Fatty acids	0.6666666666666666	Fatty Acids and Conjugates	0.6666666666666666	Branched fatty acids	0.6666666666666666
1010	3.0	0.0	MS1_match	http://www.wikidata.org/entity/Q115946557	MLAALUQKFQISLX-UHFFFAOYSA-N	InChI=1S/C7H10O2/c1-5(2)6-3-7(8)9-4-6/h3,5H,4H2,1-2H3	CC(C)C1=CC(=O)OC1	C7H10O2	pos_1_1proton1ethylamine	126.06807956	4-Isopropyl-2,5-dihydrofuran-2-one	MLAALUQKFQISLX	Terpenoids	Monoterpenoids	Monocyclic monoterpenoids	http://www.wikidata.org/entity/Q181095	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	nan	8	3	9.5	1	33	Fatty acids	1.0	Fatty Acids and Conjugates	1.0	Monocyclic monoterpenoids	0.75
1011	1.0	0.8101838	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	RXUDDQWQBSHKAP	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	3.2407352924346924	1	33	Fatty acids	1.0	Fatty Acids and Conjugates	1.0	Monocyclic monoterpenoids	0.75
1012	1.0|1.0|1.0|1.0|1.0	0.0|0.0|0.0|0.0|0.0	MS1_match|MS1_match|MS1_match|MS1_match|MS1_match	http://www.wikidata.org/entity/Q81987724|http://www.wikidata.org/entity/Q82632495|http://www.wikidata.org/entity/Q27137420|http://www.wikidata.org/entity/Q72491170|http://www.wikidata.org/entity/Q27288288	HAXARIVGMMVELD-UHFFFAOYSA-N|OUARJKDCCMXOEF-UHFFFAOYSA-N|WTTJVINHCBCLGX-NQLNTKRDSA-N|XEAIHUDTEINXFG-UHFFFAOYSA-N|XTFLBVQDKFPSCS-UHFFFAOYSA-N	InChI=1S/C7H12O2/c1-5-3-4-7(8)9-6(5)2/h5-6H,3-4H2,1-2H3|InChI=1S/C7H12O2/c1-4-6(2)5-7(8)9-3/h4H,5H2,1-3H3|InChI=1S/C19H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h7-8,10-11H,3-6,9,12-18H2,1-2H3/b8-7-,11-10-|InChI=1S/C7H12O2/c1-3-4-5-6-7(8)9-2/h4-5H,3,6H2,1-2H3|InChI=1S/C7H12O2/c1-5(2)6-3-4-7(8)9-6/h5-6H,3-4H2,1-2H3	CC1CCC(=O)OC1C|CC=C(C)CC(=O)OC|CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC|CCC=CCC(=O)OC|CC(C)C1CCC(=O)O1	C7H12O2|C7H12O2|C19H34O2|C7H12O2|C7H12O2	pos_1_1proton1acetonitrile|pos_1_1proton1acetonitrile|pos_2_2sodium|pos_1_1proton1acetonitrile|pos_1_1proton1acetonitrile	128.083729624|128.083729624|294.255880328|128.083729624|128.083729624	5,6-Dimethyloxan-2-one|Methyl 3-methylpent-3-enoate|Methyl linoleate|3-Hexenoic acid methyl ester|5-Methyl-4-hexanolide	HAXARIVGMMVELD|OUARJKDCCMXOEF|WTTJVINHCBCLGX|XEAIHUDTEINXFG|XTFLBVQDKFPSCS	Fatty acids|Fatty acids|Fatty acids|Fatty acids|Fatty acids	Fatty esters|Fatty esters|Fatty esters|Fatty esters|Fatty esters	Lactones|Wax monoesters|Wax monoesters|Wax monoesters|Lactones	http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q181095	Nicotiana tabacum|Nicotiana tabacum|Nicotiana tabacum|Nicotiana tabacum|Nicotiana tabacum	222787.0|222787.0|222787.0|222787.0|222787.0	['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']	['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']	['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']	['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']	['Nicotiana tabacum']|['Nicotiana tabacum']|['Nicotiana tabacum']|['Nicotiana tabacum']|['Nicotiana tabacum']	nan|nan|nan|nan|nan	['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']	['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']	['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']	['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']	nan|nan|nan|nan|nan	8|8|8|8|8	1|1|1|1|1	8.5|8.5|8.5|8.5|8.5	1|1|1|1|1	58	Fatty acids	0.6	Saccharides	0.45	Disaccharides	0.4
1014	7.0|7.0	0.0|0.0	MS1_match|MS1_match	http://www.wikidata.org/entity/Q82077341|http://www.wikidata.org/entity/Q911196	ALXCRKQLOWBSOZ-UHFFFAOYSA-N|UTOPWMOLSKOLTQ-UHFFFAOYSA-N	InChI=1S/C14H24O/c1-3-5-6-7-8-9-10-11-12-13-14(15)4-2/h3-4H,1-2,5-13H2|InChI=1S/C28H56O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28(29)30/h2-27H2,1H3,(H,29,30)	C=CCCCCCCCCCC(=O)C=C|CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O	C14H24O|C28H56O2	pos_1_1proton1ethylamine|pos_2_2proton2acetonitrile	208.182715388|424.4280310319999	Tetradecadien-3-one,1,13-|Octacosanoic acid	ALXCRKQLOWBSOZ|UTOPWMOLSKOLTQ	Fatty acids|Fatty acids	Fatty acyls|Fatty Acids and Conjugates	Oxygenated hydrocarbons|Hydroxy fatty acids	http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q181095	Nicotiana tabacum|Nicotiana tabacum	222787.0|222787.0	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Solanales']|['Solanales']	['Solanaceae']|['Solanaceae']	['Nicotianeae']|['Nicotianeae']	['Nicotiana']|['Nicotiana']	['Nicotiana tabacum']|['Nicotiana tabacum']	nan|nan	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Solanales']|['Solanales']	['Solanaceae']|['Solanaceae']	['Nicotianeae']|['Nicotianeae']	['Nicotiana']|['Nicotiana']	nan|nan	8|8	1|1	8.5|8.5	1|1	3	Fatty acids	0.5588235294117647	Fatty amides	0.35294117647058826	Primary amides	0.20588235294117646
1015	27.0|27.0|27.0|27.0|27.0|27.0|27.0|27.0|27.0|27.0|27.0|27.0	0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	MS1_match|MS1_match|MS1_match|MS1_match|MS1_match|MS1_match|MS1_match|MS1_match|MS1_match|MS1_match|MS1_match|MS1_match	http://www.wikidata.org/entity/Q421614|http://www.wikidata.org/entity/Q27089406|http://www.wikidata.org/entity/Q27121450|http://www.wikidata.org/entity/Q27252250|http://www.wikidata.org/entity/Q27108601|http://www.wikidata.org/entity/Q289496|http://www.wikidata.org/entity/Q27119785|http://www.wikidata.org/entity/Q105291932|http://www.wikidata.org/entity/Q27132468|http://www.wikidata.org/entity/Q27109822|http://www.wikidata.org/entity/Q419814|http://www.wikidata.org/entity/Q82933272	NPNUFJAVOOONJE-GFUGXAQUSA-N|FUCYIEXQVQJBKY-ZFWWWQNUSA-N|GAIBLDCXCZKKJE-RXJOXMPGSA-N|GIBQERSGRNPMEH-RYUDHWBXSA-N|IRAQOCYXUMOFCW-OSFYFWSMSA-N|QEBNYNLSCGVZOH-NFAWXSAZSA-N|JSNRRGGBADWTMC-QINSGFPZSA-N|VRSGYUIZSVSWIY-UHFFFAOYSA-N|WRHGORWNJGOVQY-KKUMJFAQSA-N|YONHOSLUBQJXPR-UMVBOHGHSA-N|CXENHBSYCFFKJS-VDQVFBMKSA-N|BQSLMQNYHVFRDT-UHFFFAOYSA-N	InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6+/t13-,14-/m1/s1|InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h9-10,13,15H,5-8H2,1-4H3/t13-,15-/m0/s1|InChI=1S/C15H24/c1-12(2)15-10-8-13(3)6-5-7-14(4)9-11-15/h7-8,10,12,15H,3,5-6,9,11H2,1-2,4H3/b10-8+,14-7+/t15-/m0/s1|InChI=1S/C15H24/c1-10(2)13-7-5-11(3)14-8-6-12(4)15(14)9-13/h11-12H,5-9H2,1-4H3/t11-,12-/m0/s1|InChI=1S/C15H24/c1-10-7-8-15-9-12(10)14(3,4)13(15)6-5-11(15)2/h7,11-13H,5-6,8-9H2,1-4H3/t11-,12+,13+,15+/m1/s1|InChI=1S/C15H24/c1-11(2)13-8-9-14-7-5-6-12(3)15(14,4)10-13/h7,12-13H,1,5-6,8-10H2,2-4H3/t12-,13-,15+/m1/s1|InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9,12H,1,4,7-8,10-11H2,2-3,5H3/b15-12-|InChI=1S/C15H24/c1-12(2)6-5-7-14-11-8-10(13(14,3)4)9-15(11,12)14/h10-11H,5-9H2,1-4H3|InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h9-10,13-15H,4-8H2,1-3H3/t13-,14-,15-/m0/s1|InChI=1S/C15H24/c1-11(2)13-8-9-14-7-5-6-12(3)15(14,4)10-13/h9,12-13H,1,5-8,10H2,2-4H3/t12-,13-,15-/m1/s1|InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9-10,12H,1,7-8,11H2,2-5H3/b14-10+,15-12+|InChI=1S/C15H24/c1-7-15(6)9-8-13(11(2)3)10-14(15)12(4)5/h7,14H,1,4,8-10H2,2-3,5-6H3	C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C|CC1=C[C@@H]2C(=C(C)CC[C@H]2C(C)C)CC1|C=C1/C=C/[C@H](C(C)C)CC/C(C)=C/CC1|CC(C)=C1CC[C@H](C)C2=C(C1)[C@@H](C)CC2|CC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C|C=C(C)[C@@H]1CCC2=CCC[C@@H](C)[C@]2(C)C1|C=CC(=C)CC/C=C(/C)CCC=C(C)C|CC1(C)CCCC23C4CC(CC412)C3(C)C|C=C1CC[C@@H](C(C)C)[C@@H]2C=C(C)CC[C@@H]12|C=C(C)[C@@H]1CC=C2CCC[C@@H](C)[C@@]2(C)C1|C=C/C(C)=C/C/C=C(\C)CCC=C(C)C|C=CC1(C)CCC(=C(C)C)CC1C(=C)C	C15H24|C15H24|C15H24|C15H24|C15H24|C15H24|C15H24|C15H24|C15H24|C15H24|C15H24|C15H24	pos_1_1proton1methanol|pos_1_1proton1methanol|pos_1_1proton1methanol|pos_1_1proton1methanol|pos_1_1proton1methanol|pos_1_1proton1methanol|pos_1_1proton1methanol|pos_1_1proton1methanol|pos_1_1proton1methanol|pos_1_1proton1methanol|pos_1_1proton1methanol|pos_1_1proton1methanol	204.187800768|204.187800768|204.187800768|204.187800768|204.187800768|204.187800768|204.187800768|204.187800768|204.187800768|204.187800768|204.187800768|204.187800768	Caryophyllene|(+)-delta-Cadinene|(-)-Germacrene D|beta-Guaiene|alpha-Cedrene|Valencene|cis-beta-Farnesene|Cycloisolongifolene|(+)-gamma-Cadinene|(+)-5-Epi-aristolochene|alpha-Farnesene|1-Methyl-4-(1-methylethylidene)-2-(1-methylvinyl)-1-vinylcyclohexane	NPNUFJAVOOONJE|FUCYIEXQVQJBKY|GAIBLDCXCZKKJE|GIBQERSGRNPMEH|IRAQOCYXUMOFCW|QEBNYNLSCGVZOH|JSNRRGGBADWTMC|VRSGYUIZSVSWIY|WRHGORWNJGOVQY|YONHOSLUBQJXPR|CXENHBSYCFFKJS|BQSLMQNYHVFRDT	Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids	Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids	Caryophyllane sesquiterpenoids|Cadinane sesquiterpenoids|Germacrane sesquiterpenoids|Guaiane sesquiterpenoids|Cedrane and Isocedrane sesquiterpenoids|Eremophilane sesquiterpenoids|Farnesane sesquiterpenoids|Thujopsane sesquiterpenoids|Cadinane sesquiterpenoids|Eremophilane sesquiterpenoids|Farnesane sesquiterpenoids|Elemane sesquiterpenoids	http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q924207|http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q3876607|http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q3876607|http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q181095|http://www.wikidata.org/entity/Q924207|http://www.wikidata.org/entity/Q181095	Nicotiana tabacum|Nicotiana tabacum|Nicotiana alata|Nicotiana tabacum|Nicotiana langsdorffii|Nicotiana tabacum|Nicotiana langsdorffii|Nicotiana tabacum|Nicotiana tabacum|Nicotiana tabacum|Nicotiana alata|Nicotiana tabacum	222787.0|222787.0|379008.0|222787.0|733968.0|222787.0|733968.0|222787.0|222787.0|222787.0|379008.0|222787.0	['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']	['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']	['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']	['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']	['Nicotiana tabacum']|['Nicotiana tabacum']|['Nicotiana alata']|['Nicotiana tabacum']|['Nicotiana langsdorffii']|['Nicotiana tabacum']|['Nicotiana langsdorffii']|['Nicotiana tabacum']|['Nicotiana tabacum']|['Nicotiana tabacum']|['Nicotiana alata']|['Nicotiana tabacum']	nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan	['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']|['Solanales']	['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']|['Solanaceae']	['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']|['Nicotianeae']	['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']|['Nicotiana']	nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan	8|8|8|8|8|8|8|8|8|8|8|8	2|2|2|2|2|2|2|2|2|2|2|2	9.0|9.0|9.0|9.0|9.0|9.0|9.0|9.0|9.0|9.0|9.0|9.0	1|1|1|1|1|1|1|1|1|1|1|1	4	Terpenoids	0.5769230769230769	Sesquiterpenoids	0.4358974358974359	Fatty aldehydes	0.3333333333333333
1016	5.0	0.38108778	ISDB	http://www.wikidata.org/entity/Q82494744	ZMLQVXILYPDTDA-UHFFFAOYSA-N	InChI=1S/C15H31NO/c1-14(2)12-10-8-6-4-3-5-7-9-11-13-15(16)17/h14H,3-13H2,1-2H3,(H2,16,17)	CC(C)CCCCCCCCCCCC(N)=O	C15H31NO	nan	241.240564612	13-Methyltetradecanamide	ZMLQVXILYPDTDA	Fatty acids	Fatty amides	Primary amides	http://www.wikidata.org/entity/Q4838979	Bacillus pumilus	37567.0	['Bacteria']	['Unknown']	['Firmicutes']	['Bacilli']	['Bacillales']	['Bacillaceae']	['Unknown']	['Bacillus']	['Bacillus pumilus']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	3	3.024351119995117	1	20	Fatty acids	0.4	Fatty amides	0.4	Primary amides	0.4
1017	8.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27135719	LTUMRKDLVGQMJU-IUBLYSDUSA-N	InChI=1S/C18H30O/c1-15(2)9-6-10-16(3)11-7-12-17(4)13-8-14-18(5)19/h9,11,13H,6-8,10,12,14H2,1-5H3/b16-11+,17-13+	CC(=O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C	C18H30O	pos_1_1proton1ammonium	262.22966558	Farnesylacetone	LTUMRKDLVGQMJU	Fatty acids	Fatty acyls	Fatty aldehydes	http://www.wikidata.org/entity/Q181095	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	nan	8	3	9.5	1	4	Terpenoids	0.5769230769230769	Sesquiterpenoids	0.4358974358974359	Fatty aldehydes	0.3333333333333333
