CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
55	208	2	0.9886	-0.000
199	208	2	0.9896	-0.000
208	210	2	0.7781	-1.003
208	211	2	0.9931	0.000
86	90	2	0.9579	-121.020
86	94	2	0.9558	-238.099
55	78	2	0.9567	21.982
78	130	2	0.9946	0.892
78	199	2	0.9527	-21.982
78	211	2	0.9469	-21.982
55	210	2	0.7825	-1.003
199	210	2	0.7801	-1.003
210	211	2	0.7737	1.003
210	221	2	0.9032	-76.033
57	62	2	0.8832	83.962
57	72	2	0.845	-384.355
90	94	2	0.9505	-117.079
71	72	2	0.9085	-117.079
55	199	2	0.992	-0.000
55	211	2	0.991	-0.000
199	211	2	0.9924	-0.000
1138	1158	3	0.8393	-0.176
1140	1158	3	0.805	0.827
1129	1137	3	0.9187	0.009
1133	1137	3	0.8691	0.002
1137	1154	3	0.8947	0.169
1137	1160	3	0.8218	-0.001
938	1129	3	0.8415	-43.227
1129	1133	3	0.8717	0.007
1129	1154	3	0.9486	0.178
1129	1156	3	0.8539	85.274
1129	1160	3	0.8273	0.008
997	1231	3	0.8965	-56.062
1014	1231	3	0.8959	-56.062
1028	1231	3	0.8806	-56.062
1062	1231	3	0.8884	-42.047
1231	1283	3	0.8436	-28.031
888	968	3	0.8963	-14.016
920	968	3	0.8631	42.047
968	1037	3	0.8524	56.062
968	1144	3	0.903	-41.733
968	1150	3	0.8895	14.015
968	1213	3	0.8604	-56.063
1004	1160	3	0.8405	-28.201
1138	1160	3	0.7982	0.833
888	1156	3	0.9383	28.031
938	1156	3	0.882	42.047
993	1156	3	0.889	0.000
1037	1156	3	0.9499	-14.016
1038	1156	3	0.965	0.000
1149	1156	3	0.8566	-14.016
1150	1156	3	0.938	28.031
906	1014	3	0.8926	28.031
997	1014	3	0.9479	0.000
1014	1028	3	0.9204	-0.000
1014	1062	3	0.9267	-14.016
1014	1133	3	0.8972	-29.205
1014	1139	3	0.8945	42.047
1014	1148	3	0.9565	-27.863
1014	1172	3	0.9206	-28.031
1014	1210	3	0.9261	-42.047
888	1149	3	0.8843	42.047
993	1149	3	0.8531	14.016
1037	1149	3	0.8939	0.000
1038	1149	3	0.8534	14.016
888	1147	3	0.8873	-56.063
906	1147	3	0.9017	-0.000
920	1147	3	0.8868	-0.000
1062	1147	3	0.8984	-14.016
1144	1147	3	0.9012	-0.314
1145	1147	3	0.9321	-42.047
1147	1148	3	0.9233	0.169
1147	1150	3	0.8966	56.062
1147	1172	3	0.9245	0.000
1147	1210	3	0.9246	-14.016
920	1213	3	0.8758	-14.016
1145	1213	3	0.892	-56.063
1172	1213	3	0.8911	-14.016
1210	1213	3	0.8978	0.000
1138	1140	3	0.7575	-1.003
997	1144	3	0.8755	-27.717
1038	1144	3	0.8783	-83.780
1062	1144	3	0.908	-13.702
1144	1145	3	0.8854	41.733
1144	1150	3	0.893	55.749
888	993	3	0.8993	28.031
888	1038	3	0.9344	28.031
888	1062	3	0.8933	-42.047
888	1139	3	0.8907	14.016
888	1145	3	0.8843	-14.016
888	1150	3	0.9894	-0.000
938	1154	3	0.8273	-43.049
920	1148	3	0.8973	0.168
997	1148	3	0.9138	-27.863
1028	1148	3	0.8762	-27.863
1133	1148	3	0.8848	1.342
1145	1148	3	0.9155	-41.878
1148	1172	3	0.9207	-0.169
1148	1210	3	0.9312	-14.184
906	997	3	0.8763	28.031
