"features"	"LV1"	"LV2"
111	0.0349243456813567	-0.110726370520967
117	0.0446753085722433	-0.0208275137944639
122	0.0443027791413976	-0.0943711448453616
125	0.0561435470722354	-0.0405677092559219
126	0.0328779855614212	-0.0969880298143406
136	0.0464277951570204	-0.0582990757068052
148	0.0939070572930663	-0.0243933847633353
153	0.0882908426864066	-0.0235660467960489
158	0.0729854875863431	-0.00205103922267195
159	0.0832788813334817	-0.0196333756099741
160	0.087071493395162	-0.0138060811325173
163	0.0757873127982194	-0.00860717948389892
165	0.0876485452730876	-0.0105880040114447
183	0.0983730785135817	-0.0286025349792714
185	0.0903281939551501	-0.019722388347952
210	0.0986867067832499	-0.0199984542739191
216	0.042982140420768	0.0357973765356452
217	0.0954698094059941	-0.014980640276529
221	0.0287930867828234	-0.102418202805711
222	0.102574245572941	-0.0230391526065064
226	0.0943229005109531	-0.0111905593140569
228	0.0900893745394815	-0.0112432733650682
230	0.100440592902334	-0.0184279905854499
234	0.0111283244593286	0.0147451358649077
235	0.0111283244593286	0.0147451358649077
236	0.0332965347583009	0.00791366576289584
239	0.103993467245417	-0.0176430314426294
242	0.0581558252663347	-0.0695659412537504
243	0.0609398227638593	-0.0697207589822052
244	0.0520434867525391	-0.0936336719530039
246	0.0894035356560131	-0.00147743364324728
251	0.0694489755815744	-0.0247134913982368
252	0.0734481422247503	-0.0247699476220274
254	-0.00124327411154591	-0.0357489262824534
256	0.069545088843907	0.0337176091175839
257	0.0999268905017661	-0.0162209761210307
258	0.057614505778026	0.00650907686954075
260	0.0672316133096097	-0.00202183087292724
261	0.0315423602211546	0.0210904838231083
263	0.0157620418502193	-0.0209664314146691
267	0.0962698172799513	-0.000654358707802553
272	0.0463671435335854	-0.0158675389551459
273	0.0960161076850773	0.00741057340498837
277	0.0981634823693994	-0.0488762129359644
279	0.09065192876282	-0.00567711148431111
281	0.0968272797833773	-0.0135825107000878
282	0.0771425018338376	-0.0378258414270198
284	0.0941481683015712	-0.0106610837232172
285	0.093381086276356	-0.0340754635881821
287	0.101775010911815	-0.0244998139172901
288	0.0923349560068093	-0.0135823040620425
290	0.100757781418842	-0.0191100675123877
294	0.0714252476985581	-0.0525531198079542
299	0.0941015186111105	-0.00770244019691976
300	0.0635512312201417	-0.0642572318964355
301	0.061965323911837	-0.08056007719994
302	0.024966357852565	-0.0602019328525834
303	0.0121511595933071	0.0147927692078499
305	0.0983307748971161	-0.0176743216694669
306	0.102794484379392	-0.0239231199631581
307	0.0889437326518059	-0.0387631198310293
308	0.0891809015728102	0.00504055905532653
310	0.0979059478693494	-0.0206542862393606
311	0.0874086391462606	-0.0219464460452671
314	0.0997267450448275	-0.0418295482767002
325	0.0697323897504227	-0.0322174268069686
326	0.0183271572710427	-0.0603713333814565
327	0.0882536911024671	-0.0978832330519161
328	0.0840963567640654	-0.0853412408393331
329	0.084479817053249	-0.0469079077044125
332	0.0850663882267807	-0.0525386331619806
333	0.0903847409493714	-0.0462316631986538
334	0.0762700701124769	-0.0252364941004359
335	0.0960070386852779	-0.0545339729131966
