"features"	"PC1"	"PC2"	"PC3"
111	0.0905832600682248	-0.0596920280015656	0.123447785928008
117	0.0429139145544494	0.0962249564064178	-0.0502235247586014
122	0.105494285061783	0.0315487346866195	0.0146015406684309
125	0.0161979953064989	0.0316914187988147	-0.0667935010212732
126	0.111202559724977	0.0242006580099607	0.0246277254251255
136	0.0216611217152206	-0.0304392993613806	0.145520645269552
148	-0.0482894028387397	0.0187813160384478	0.0393834313170688
153	-0.0442995430224191	0.0209846466612413	-0.0344536802896443
158	-0.025491423072728	0.0746947340514152	-0.0754221029813228
159	-0.0568012149666057	0.010698676695603	-0.0214809826245453
160	-0.0576831250903438	0.0265593715783884	-0.0155838949597924
163	-0.0486350883118347	0.0375019921330172	0.0182538703189641
165	-0.0506832897516374	0.0554455544415119	-0.0166975829177236
183	-0.0506095527803956	0.00171239493832545	0.0224650353369236
185	-0.0530711945140595	0.00971355166443378	-0.00188436505938677
210	-0.0555955517740565	0.0246561153246662	0.00383562222616379
216	-0.030255211620633	0.0838162713031918	-0.0233836205171228
217	-0.0578112471139207	0.0291936413210536	0.00978011550997098
221	0.120330292513382	0.00412893580659494	0.0241470490621227
222	-0.0641999079501515	0.0129455834446471	-0.00159794435793274
226	-0.0609023619500947	0.0285535667311645	-0.00793573079465242
228	-0.0592213618764623	0.0333598482518985	-0.004962345583606
230	-0.0607983880538842	0.0263025893267008	0.00575117099975424
234	-0.00810009130303575	0.0320505111137542	-0.0165407875247439
235	-0.00810009130303575	0.0320505111137542	-0.0165407875247439
236	-0.011957323959127	0.0464555915481483	-0.0392631941041236
239	-0.0616836941300269	0.0306201023488708	0.00831429128314969
242	-0.0279526924559698	-0.125235678123986	-0.0815857764074086
243	-0.0304906679759547	-0.124571885127351	-0.0791241020570212
244	0.00820895742048228	-0.124261512496627	-0.076483468094586
246	-0.0587781587291401	0.0425992624161753	-0.0390586070252094
251	-0.0421861879003001	-0.0148831349516277	-0.0440221601186506
252	-0.0445488249349359	-0.013020249869699	-0.0474378733854205
254	0.0859140189840294	0.0764365928489685	-0.122712824669989
256	-0.0502450483896857	0.123215194259164	0.0187394069406914
257	-0.059815781738559	0.0328956723058278	0.010127819579983
258	-0.0402942394555545	0.0244217339272721	-0.0270922700282885
260	-0.0440059331335401	0.0166454152434104	-0.0330305315118395
261	-0.0224813102351623	0.0339521179898266	-0.0321384689978077
263	0.0740734123207296	0.119580937785852	-0.106934161880289
267	-0.0659730211334229	0.0594920905183529	-0.00529643144907709
272	-0.0302832974292412	-0.0452777784346179	-0.0742343021570373
273	-0.0692274179508927	0.0761588353159445	0.000946172512982901
277	-0.052265274339247	-0.0460853885551162	-0.00749016508095959
279	-0.061422055732989	0.0486713903877906	0.00080037153396549
281	-0.0588669745698195	0.0416744519499081	0.0201612591709639
282	-0.0471811721320703	-0.0274239111130452	-0.0231933249783518
284	-0.0631642483725536	0.033590566304779	-0.0142273933240744
285	-0.0605948440602308	-0.0256902169337637	-0.0378172806790351
287	-0.0605066337808986	0.0191151926419711	0.023518544738999
288	-0.0612620183351379	0.0240490619148036	-0.0102299395204826
290	-0.0601102257290827	0.0253069359475293	0.0118540781541439
294	-0.0467060699183391	-0.0840068928116173	-0.0368496527378077
299	-0.0641430923987307	0.0313547919281241	-0.0327043476648
300	-0.0380490713470832	-0.114034982893428	-0.0721903862481367
301	-0.0165531993994959	-0.126755648256489	-0.0549803175676207
302	0.0305715399695993	-0.00576358106936676	0.0869953059062519
303	-0.00798019352346569	0.0437321451829792	-0.0217471606887053
305	-0.0570955727554757	0.0291090534181681	0.0124431952386404
306	-0.0572078817903896	0.0219804251055553	0.0276791018246685
307	-0.0528404735737854	-0.0308537918186601	-0.0139840239174819
308	-0.0648716710391147	0.0671783774822933	-0.00669511174377998
310	-0.0568508654431838	0.0388048099698907	0.0600169392407268
311	-0.0583285824485407	-0.00513620670186921	-0.0339022129426007
314	-0.0535445716119983	-0.0245952217629748	0.00344808719807858
325	-0.0295888002681636	-0.0298922894263286	-0.100970491537789
326	0.0290306454401684	-0.10613962635595	0.0221093387834804
327	0.0479623777757961	-0.0168432170772811	0.0514178868651297
328	0.0449762665283463	0.0138835701272788	0.0549489807168762
329	-0.0342711285199172	-0.0366131871820453	-0.000778302300622626
