"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"352_1288.88_4.1",352,1288.87604376839,4.073781,NA
"353_1523.03_4.1",353,1523.0342343877,4.0793185,NA
"354_352.24_4.1",354,352.244012870179,4.077031,"C15H33N3O6"
"355_1289.38_4.1",355,1289.37741389289,4.078397,NA
"356_996.68_4.1",356,996.680098524552,4.074622,NA
"358_1289.88_4.1",358,1289.8788169947,4.0760274,NA
"359_1406.96_4.1",359,1406.95728838776,4.0792046,"C70H127N13O16"
"360_235.17_4.1",360,235.165122174397,4.0873985,"C10H19NO4"
"361_588.41_4.1",361,588.407824877769,4.081209,"C30H55N5O5"
"362_1406.46_4.1",362,1406.45602575362,4.0784106,NA
"363_120.09_4.1",363,120.09064317616,4.0947757,NA
"364_238.17_4.1",364,238.17132327382,4.106159,"C13H20FN3"
"365_470.33_4.1",365,470.326203480124,4.0806203,"C21H44N2O6S"
"366_120.09_4.1",366,120.09302488654,4.1059704,NA
"368_236.06_4.1",368,236.062320595637,4.1128454,"C7H16N3O3PS"
"369_353.25_4.1",369,353.247213456198,4.0931,"C16H33NO4S"
"370_1249.77_4.1",370,1249.77423938564,4.1346703,"C56H102N18O15"
"371_1132.7_4.1",371,1132.69546140005,4.132097,"C61H93N7O13"
"373_121.09_4.1",373,121.093973505614,4.1276517,NA
"374_1015.62_4.1",374,1015.61660236221,4.137904,"C50H84N10O13"
"375_898.54_4.1",375,898.537741390954,4.1396503,"C45H73N9O11"
"376_236.06_4.1",376,236.055641062381,4.139893,"C6H15NO5S"
"377_1210.67_4.1",377,1210.67270712995,4.1417675,"C49H93N19O14"
"378_781.46_4.1",378,781.458810118231,4.142384,"C40H60N8O8"
"380_313.14_4.1",380,313.142452896645,4.144522,"C15H13N5O2"
"381_664.38_4.1",381,664.379744045173,4.144594,"C35H51N7O7"
"382_1093.59_4.1",382,1093.59419860544,4.1462913,"C54H82N10O15"
"383_547.3_4.1",383,547.30085892653,4.14918,"C28H40N6O4"
"384_391.12_4.1",384,391.120072968942,4.1498113,"C12H26N2O8S2"
"385_196.06_4.2",385,196.063827260825,4.151397,"C6H15NO5S"
"386_234.28_4.2",386,234.27959842255,4.1509986,NA
"387_234.27_4.1",387,234.272649401773,4.145054,NA
"388_586.4_4.1",388,586.402222123301,4.1237674,NA
"389_1171.8_4.2",389,1171.79651528028,4.1867576,NA
"391_236.05_4.2",391,236.054656654768,4.183566,"C9H8F2O2S"
"393_820.56_4.2",393,820.560186861945,4.179124,"C40H77N5O12"
"394_996.18_4.2",394,996.178183441517,4.185859,NA
"395_937.64_4.2",395,937.639075249786,4.176209,"C52H84N6O9"
"398_996.68_4.2",398,996.68007829376,4.190885,NA
"399_703.48_4.2",399,703.481206851044,4.150162,NA
"400_1113.76_4.2",400,1113.75845301072,4.1879044,"C56H102N10O11"
"401_1054.72_4.2",401,1054.71775565825,4.183921,"C51H92N10O12"
"402_1406.96_4.2",402,1406.95719186307,4.200293,"C70H127N13O16"
"403_1230.34_4.2",403,1230.3364706879,4.2052045,NA
"404_1289.88_4.2",404,1289.87859722891,4.1898894,NA
"405_1172.3_4.2",405,1172.29817687085,4.1975813,NA
"406_1288.88_4.2",406,1288.87602425696,4.1993904,NA
"407_1113.26_4.2",407,1113.2573256648,4.2005982,NA
"408_1230.84_4.2",408,1230.83771943851,4.2066097,NA
"409_1405.95_4.2",409,1405.95379514502,4.2064247,NA
"416_234.28_4.3",416,234.279743437273,4.2906857,NA
"417_236.06_4.3",417,236.055424675089,4.2926235,"C6H15NO5S"
"421_273.12_4.5",421,273.120909157161,4.49369,"C10H22N2O4"
"422_491.31_4.5",422,491.305286976073,4.4866486,"C22H44N4O9"
"426_374.23_4.6",426,374.226044861923,4.5648108,"C13H24N8O4"
"427_491.31_4.6",427,491.30529304337,4.567648,"C22H44N4O9"
"429_273.12_4.6",429,273.120959117553,4.609745,"C10H22N2O4"
"431_374.23_4.6",431,374.226069793994,4.6024194,"C13H24N8O4"
"432_273.12_4.6",432,273.120991073924,4.6405115,"C10H22N2O4"
"433_491.31_4.6",433,491.305333429698,4.6316667,"C20H44N4O8"
"434_257.15_4.8",434,257.147079908491,4.816421,"C10H22N2O4"
"435_140.07_4.8",435,140.068188844778,4.8292546,"C5H11NO2"
"436_491.31_4.8",436,491.305343896963,4.7590833,"C20H44N4O8"
"437_196.06_4.8",437,196.063900057332,4.8348985,"C6H15NO5S"
"438_211.05_4.8",438,211.046190692171,4.8424764,"C7H12N2O3"
"439_202.06_4.8",439,202.059937067298,4.842026,"C7H14ClNO2"
"440_293.1_4.8",440,293.099200308454,4.844557,NA
"441_205.07_4.8",441,205.068365378501,4.846052,NA
"443_234.02_4.9",443,234.019850647275,4.8577037,"C6H13NO4S"
"445_147.07_4.9",445,147.065228120414,4.870326,"C6H12O5"
"446_165.08_4.9",446,165.075812947974,4.8707967,"C6H14O6"
"447_200.11_4.9",447,200.112966573059,4.8707967,"C6H14O6"
"448_129.05_4.9",448,129.05477878273,4.871246,"C6H8O3"
"449_183.09_4.9",449,183.086394402051,4.871246,"C6H14O6"
"450_188.09_4.9",450,188.091705458685,4.8711357,"C8H10O4"
"451_130.06_4.9",451,130.058066526699,4.8707085,"C2H9N3O2"
"452_166.08_4.9",452,166.079068866774,4.868917,NA
"456_221.04_4.9",456,221.042258738535,4.8899255,"C9H10O5"
"457_223.04_4.9",457,223.039992986837,4.8904157,"C7H14N2S3"
"458_224.04_4.9",458,224.043177797807,4.890437,"C7H13NO3S2"
"463_273.12_5",463,273.121087232305,4.9637465,"C10H22N2O4"
"464_156.03_5",464,156.034782292371,4.9505324,"C4H8ClOP"
"466_159.04_5",466,159.043440768643,4.9584184,"C6H11NO3P"
"467_158.04_5",467,158.040047285654,4.965075,NA
"468_157.05_5",468,157.045274856038,4.9681063,NA
"469_305_5",469,305.003458831461,4.965327,"C8H14N2O4S2"
"470_259_5",470,258.998176516778,4.965353,"C6H8ClNO3S2"
"471_156.05_5",471,156.04945940722,4.9700813,NA
"472_235.17_5",472,235.165181664936,5.0225267,NA
"473_156.05_5",473,156.051909356928,4.962282,NA
"474_156.04_5",474,156.042141679889,4.9666944,"C5H11NO2"
"475_124.92_5",475,124.922827607156,5.0024047,NA
"476_122.92_5",476,122.924709025207,5.002819,NA
