"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
56	"NA_[56_871.57_0.5]"	2.16192840521165	-0.0369997896407874	-0.153921872673121
667	"NA_[667_759.27_6.6]"	2.01340001201032	-0.0151610376645441	-0.151847515047177
656	"NA_[656_997.37_6.6]"	1.94914370482088	-0.0266689184921153	-0.151568980696648
657	"Muraglitazar_[657_499.19_6.6]"	1.93345461792317	-0.0299899568138346	-0.127360795053613
655	"NA_[655_533.12_6.6]"	1.90533368568584	-0.034747315214224	-0.132715829266073
643	"NA_[643_1083.94_6.6]"	1.86403115780022	-0.0590982943467281	-0.114119467128324
422	"NA_[422_491.31_4.5]"	1.85188133780112	-0.0690007017923041	-0.115021119081923
679	"NA_[679_781.25_6.7]"	1.83191306367425	-0.0144015125427214	-0.13436508288402
221	"NA_[221_954.62_1.8]"	1.82693063544567	-0.0244229935778794	-0.13909321257337
111	"NA_[111_172.13_0.6]"	1.82026179286523	-0.0287929072016925	-0.136334845329935
401	"NA_[401_1054.72_4.2]"	1.80638913743842	-0.0415661560616471	-0.121880223023939
595	"NA_[595_975.38_6.5]"	1.74037796377425	-0.0237795273167931	-0.13064628394388
126	"NA_[126_764.53_0.6]"	1.73559056299834	-0.0267148231138495	-0.127005665565854
421	"N-(D-ribulosyl)-cadaverine(2+)_[421_273.12_4.5]"	1.71647382208921	-0.0617145980562322	-0.121445043933995
389	"NA_[389_1171.8_4.2]"	1.7002423951389	-0.0376287265659327	-0.117751626833791
675	"NA_[675_521.17_6.7]"	1.68581450359757	-0.022543437910303	-0.124386938670856
654	"NA_[654_531.12_6.6]"	1.65612989192548	-0.0405735560661335	-0.109565725679281
441	"NA_[441_205.07_4.8]"	1.58578334802683	-0.0299110958271012	-0.132813883878158
674	"NA_[674_627.2_6.7]"	1.55805998352978	-0.0320895667069233	-0.126537186443895
658	"NA_[658_261.09_6.6]"	1.55786071054726	-0.0202678073357772	-0.113398405444336
676	"NA_[676_283.07_6.7]"	1.5499414823852	-0.0294494425299564	-0.107494669273846
642	"NA_[642_1202.49_6.6]"	1.54877572865713	-0.0545647688553246	-0.0863278342631979
400	"NA_[400_1113.76_4.2]"	1.53808659860588	-0.029077502999843	-0.098088966746097
646	"NA_[646_975.38_6.6]"	1.53757019568213	-0.0409644778423163	-0.122307007816745
432	"N-(D-ribulosyl)-cadaverine(2+)_[432_273.12_4.6]"	1.53449315329077	-0.0670101785957195	-0.10652948873748
592	"NA_[592_499.19_6.5]"	1.53396590411613	-0.0216592472474869	-0.119872071804695
122	"PC(P-18:1(9Z)/P-18:1(9Z))_[122_792.56_0.6]"	1.52752255844564	-0.0338873580974793	-0.119706766225129
399	"NA_[399_703.48_4.2]"	1.52455627605696	-0.0529137627078626	-0.101301739050847
